Grid_ID,Lat,Lon,Richness,Continent,TEMPR,PREC,TEMP,AREA,PERIMETER,Hw,TEMPLGM,PRECLGM,ALTR,ALTM,MDE,HII
333,-37.4840012,-61.5,199,South America,28.78792366,855.6607639,14.24517419,0.004669826,6.420944318,0.025061246,-1.721178771,-93.09645833,415,222.6475694,117.7,13.78305556
334,-37.4840012,-60.5,197,South America,27.94432625,847.0377083,13.90613048,0.010582593,13.68772292,0.048135397,-1.928213775,-114.2572917,100,208.8142361,115.55,13.45527778
335,-37.4840012,-59.5,205,South America,26.81094446,846.6913194,13.54053415,0.002695036,3.302722883,0.015944761,-2.071847795,-130.2708333,256,208.6059028,111.52,18.06451389
336,-37.4840012,-58.5,204,South America,25.61631934,870.6715278,13.96067533,0.001495062,2.379500005,0.009726259,-1.95638369,-141.9873611,264,113.7256944,106.22,17.39597222
337,-37.4840012,-57.5,216,South America,24.09111898,889.2564058,14.34441854,0.01965113,16.05660993,0.077221481,-1.684551507,-159.9802778,179,20.80425532,98.2,17.90527133
338,-37.4840012,-56.5,198,South America,21.96533816,917.9982669,14.59107452,0.002423659,2.053388546,0.014596433,-1.456712692,-164.1797917,12,5.37037037,88.75,26.08837971
358,-36.4840012,-73.5,68,South America,17.78484844,1105.54697,12.62852273,0.004364121,0.958663753,0.341337535,-3.539198197,-84.73006944,298,57.2,94.76,43.6568915
359,-36.4840012,-72.5,89,South America,21.99953973,1054.888301,13.00823649,0.000686616,0.95516231,0.192519196,-3.594295151,-93.33583333,562,184.8919926,102.88,21.88348252
360,-36.4840012,-71.5,105,South America,25.23388887,1148.524236,9.888624712,0.002573951,2.10855573,0.015346704,-3.482471634,-95.319375,2480,985.2326389,109.16,16.15416667
361,-36.4840012,-70.5,117,South America,26.86141666,683.2792361,5.154767651,0.014231217,5.427294986,0.055811181,-3.457156828,-59.03125,2773,2208.173611,113.11,8.945972222
362,-36.4840012,-69.5,96,South America,29.87893749,372.1172917,9.071924772,0.000498688,0.387500006,0.003791786,-3.355097803,-29.369375,2390,1697.515625,115.89,7.126597222
363,-36.4840012,-68.5,79,South America,32.48397915,284.8228472,11.96779717,0.000244716,0.386055725,0.002034911,-3.337254342,-28.99,1388,1141.461806,113.38,5.273541667
366,-36.4840012,-65.5,55,South America,32.51470814,574.8680556,15.63935879,0.001337562,2.204000016,0.008850526,-2.850615177,-37.58944444,180,320.5260417,115.87,7.008402778
367,-36.4840012,-64.5,54,South America,30.97577754,662.9452083,15.79864786,0.01070848,7.326444235,0.048581368,-2.489702566,-56.79993056,230,213.5520833,123.63,11.70020833
368,-36.4840012,-63.5,205,South America,30.30481248,671.9583333,15.67682,0.025010002,23.22633133,0.092248879,-2.156623843,-80.00888889,66,130.2482639,126.56,14.90152778
369,-36.4840012,-62.5,201,South America,29.5345139,776.8434028,15.49482465,0.065104583,44.51044274,0.177850117,-1.999386255,-96.865,53,110.3368056,127.17,16.61111111
370,-36.4840012,-61.5,201,South America,28.42063889,923.6690972,15.39540481,0.042101502,56.81832966,0.133363744,-2.037302922,-114.7030556,79,110.4479167,126.31,16.805625
